verdict_id,date,list_period,subject,card_ids,subject_kind,question,verdict,confidence,authority,category,grounds,anchors,supersedes,variant_of,notes
V001,2026-09-25,2026-09,Old Entity Hastorr,70913714,official,,0,high,maintainer,power,"This card represents a very powerful tool full of utility unlike anything else in the format."
V002,2026-09-25,2026-09,Cross Debug,9097866,official,,0,high,maintainer,character,"This card represents too much of an advantage in battles from the GY (even if niche where it can apply), practically walling out certain gamestates in a way that does not feel healthy to include in retro."
V003,2026-09-25,2026-09,Ally Salvo,59482302,official,,0,high,maintainer,character,"This is a feast-or-famine card that does not feel good to play or play into. Punishing players this hard for playing a specific category of monsters (LIGHT) is not a healthy interaction to have in Retro."
V004,2026-09-25,2026-09,Thunder Dragon Fusion,95238394,official,,0,high,maintainer,power,"Even in principle, a Fusion this generic that can fuse for free, and then (or even separately!) act as a searcher for an entire Type from GY is too much for Retro."
V005,2026-09-25,2026-09,Thunder Dragonduo,55591586,official,,0,high,maintainer,power,"A 2800 (or 3100) ATK Chaos-like monster that can search another copy of itself, as well as act as recursion/deck fixing, is a bit over the top for the low investment it requires."
V006,2026-09-25,2026-09,Cards of Consonance,39701395,official,,0,high,maintainer,consistency,"Even archetype-locked 'Trade-in'-like cards are historically very powerful in Retro (see Destiny Draw); a 'Trade-In' this generic is too powerful for Retro.",45809008,
V007,2026-09-25,2026-09,Doublebyte Dragon,23971061,official,,0,high,maintainer,power,"While it's difficult to pump Doublebyte Dragon to astronomical ATK values, being unaffected and battle immune to non-links makes this card very frustrating to play against."
V008,2026-09-25,2026-09,"Nibiru, the Primal Being",27204311,official,,0,high,maintainer,character,"While not as easy to trigger in Retro due to the slower pace of the format, the huge payoff and potential one-sided advantage it brings against Summon-heavy strategies make this a feast-or-famine card antithetical to the format's core philosophy"
V009,2026-09-25,2026-09,"Bingo Card",99505609,official,,0,high,maintainer,character,"The prospective board wipes, even if they offer a draw-2 as compensation, are not a space we want to explore in Retro."
V010,2026-09-25,2026-09,"Double or Nothing!",94770493,official,,0,high,maintainer,synergy,"Utopia exists and makes this card hilariously broken.",84013237
V011,2026-09-25,2026-09,"Geminize Lord Golknight",72305034,official,,0,high,maintainer,consistency,"Gemini and Gigavise strategies do not need support this powerful in terms of consistency."
